-0.41,0.164,9.812
9.807,0.213,0.087
-9.774,0.122,-0.798
-0.085,9.79,-0.384
-0.052,-9.809,0.037
0.038,0.831,-9.743
6.332,7.481,-0.276
6.958,-6.916,-0.24
-6.371,7.443,-0.16
-6.295,-7.467,-0.884
6.104,-7.679,0.186
-0.526,0.036,9.797
9.808,0.16,0.25
0.129,-9.808,0.037
-9.77,0.131,-0.774
0.119,9.802,-0.202
6.011,7.724,-0.598
-2.636,9.426,-0.461
-7.622,-4.637,4.015
4.131,-6.897,-5.646
-4.37,-6.276,6.087
-3.768,2.022,8.824
3.334,2.286,8.958
4.136,-2.536,8.521
-0.822,-6.772,-7.081
5.735,-3.51,-7.147
-2.733,2.521,-9.062
2.053,3.69,-8.818
4.659,-8.293,2.358
-4.343,4.599,7.514
